JOGO;The Witcher 3;2015-05-19;RPG;CD Projekt Red
JOGO;Hollow Knight;2017-02-24;Metroidvania;Team Cherry
JOGO;Red Dead Redemption 2;2018-10-26;Ação-Aventura;Rockstar Games
JOGO;The Last of Us;2013-06-14;Ação-Aventura;Naughty Dog
JOGO;God of War;2018-04-20;Ação-Aventura;Santa Monica Studio
JOGO;Elden Ring;2022-02-25;RPG;FromSoftware
JOGO;Cyberpunk 2077;2020-12-10;RPG;CD Projekt Red
JOGO;Horizon Zero Dawn;2017-02-28;RPG;Guerrilla Games
JOGO;Bloodborne;2015-03-24;RPG;FromSoftware
JOGO;Ghost of Tsushima;2020-07-17;Ação-Aventura;Sucker Punch Productions
