LIVRO;Dom Casmurro;1899-01-01;Machado de Assis;Garnier;256
LIVRO;O Hobbit;1937-09-21;J.R.R. Tolkien;HarperCollins;310
LIVRO;1984;1949-06-08;George Orwell;Secker & Warburg;328
LIVRO;O Senhor dos Anéis;1954-07-29;J.R.R. Tolkien;Allen & Unwin;1216
LIVRO;Duna;1965-08-01;Frank Herbert;Chilton Books;688
LIVRO;Neuromancer;1984-07-01;William Gibson;Ace Books;271
LIVRO;A Revolução dos Bichos;1945-08-17;George Orwell;Secker & Warburg;112
LIVRO;Fundacao;1951-05-01;Isaac Asimov;Gnome Press;255
LIVRO;O Guia do Mochileiro das Galáxias;1979-10-12;Douglas Adams;Pan Books;180
LIVRO;Cem Anos de Solidão;1967-05-30;Gabriel García Márquez;Editora Sudamericana;417
